EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,INJURIES_INDIRECT,DEATHS_INDIRECT,END_DATE,END_TIME
5170551,Escambia County,8/9/2000,1930,Flash Flood,0,0,0,0,0,0,8/9/2000,2100
5155388,Leon County,8/20/2000,1510,Flood,0,0,25000,0,0,0,8/20/2000,1700
5158462,Leon County,9/6/2000,700,Flash Flood,0,0,150000,0,0,0,9/6/2000,1400
5160553,Wakulla County,9/6/2000,700,Flash Flood,0,0,75000,0,0,0,9/6/2000,1400
5160552,Jefferson County,9/6/2000,700,Flash Flood,0,0,75000,0,0,0,9/6/2000,1400
5157718,Franklin County,9/22/2000,700,Flash Flood,0,0,200000,0,0,0,9/22/2000,1700
5157717,Gulf County,9/22/2000,700,Flash Flood,0,0,100000,0,0,0,9/22/2000,1500
5158945,Jefferson County,9/22/2000,900,Flash Flood,0,0,50000,0,0,0,9/22/2000,1700
5157716,Leon County,9/22/2000,900,Flash Flood,0,0,500000,0,0,0,9/22/2000,1700
5158946,Wakulla County,9/22/2000,900,Flash Flood,0,0,1000000,0,0,0,9/22/2000,1700
5235815,Escambia County,3/3/2001,1200,Flash Flood,0,0,5000,0,0,0,3/3/2001,1600
5235816,Santa Rosa County,3/3/2001,1200,Flash Flood,0,0,5000,0,0,0,3/3/2001,1600
5251411,Bay County,6/11/2001,1000,Flood,0,0,125000,0,0,0,6/11/2001,1500
5251197,Calhoun County,6/11/2001,1800,Flood,0,0,0,0,0,0,6/11/2001,2100
5251271,Leon County,6/11/2001,2200,Flash Flood,1,0,20000000,0,0,0,6/12/2001,200
5264565,Liberty County,8/6/2001,150,Flash Flood,0,0,25000,0,0,0,8/6/2001,300
5264662,Leon County,8/6/2001,1330,Flash Flood,0,0,750000,0,0,0,8/6/2001,1700
5264663,Leon County,8/6/2001,1800,Flash Flood,0,0,1500000,0,0,0,8/9/2001,1800
5264664,Wakulla County,8/6/2001,2000,Flash Flood,0,0,250000,0,0,0,8/10/2001,1200
5285714,Leon County,3/3/2002,200,Flash Flood,0,0,1000000,0,0,0,3/3/2002,600
5285718,Wakulla County,3/3/2002,200,Flash Flood,0,0,20000,0,0,0,3/3/2002,600
5285716,Calhoun County,3/3/2002,200,Flash Flood,0,0,10000,0,0,0,3/3/2002,600
5285715,Jefferson County,3/3/2002,300,Flash Flood,0,0,20000,0,0,0,3/3/2002,700
5320059,Gadsden County,9/14/2002,1100,Flash Flood,0,0,10000,0,0,0,9/14/2002,1300
5320061,Wakulla County,9/14/2002,1100,Flash Flood,0,0,10000,0,0,0,9/14/2002,1300
5320060,Leon County,9/14/2002,1100,Flash Flood,0,0,10000,0,0,0,9/14/2002,1300
5320052,Walton County,9/14/2002,2100,Flash Flood,0,0,125000,0,0,0,9/14/2002,2300
5320054,Bay County,9/14/2002,2230,Flash Flood,0,0,10000,0,0,0,9/15/2002,0
5320138,Washington County,9/14/2002,2230,Flash Flood,0,0,10000,0,0,0,9/15/2002,0
5320056,Calhoun County,9/14/2002,2300,Flash Flood,0,0,10000,0,0,0,9/15/2002,100
5320057,Holmes County,9/14/2002,2300,Flash Flood,0,0,5000,0,0,0,9/15/2002,100
5319755,Escambia County,9/25/2002,1100,Flash Flood,0,0,0,0,0,0,9/25/2002,1200
5319756,Santa Rosa County,9/25/2002,1305,Flash Flood,0,0,0,0,0,0,9/25/2002,1400
5319820,Escambia County,9/25/2002,2140,Flash Flood,0,0,0,0,0,0,9/26/2002,1500
5319821,Santa Rosa County,9/25/2002,2140,Flash Flood,0,0,0,0,0,0,9/26/2002,1500
5347623,Franklin County,3/7/2003,600,Flood,0,0,50000,0,0,0,3/9/2003,1200
5347029,Leon County,3/7/2003,600,Flood,0,0,100000,0,0,0,3/9/2003,600
5347984,Wakulla County,3/7/2003,600,Flood,0,0,150000,0,0,0,3/9/2003,1500
5347531,Liberty County,3/7/2003,600,Flood,0,0,100000,0,0,0,3/9/2003,600
5346737,Bay County,3/20/2003,500,Flash Flood,0,0,25000,0,0,0,3/20/2003,600
5358413,Escambia County,5/18/2003,845,Flash Flood,0,0,0,0,0,0,5/18/2003,1000
5364817,Leon County,6/18/2003,1300,Flood,0,0,20000,0,0,0,6/21/2003,1300
5369899,Escambia County,6/30/2003,2100,Flash Flood,0,0,0,0,0,0,6/30/2003,2359
5369900,Santa Rosa County,6/30/2003,2100,Flash Flood,0,0,0,0,0,0,6/30/2003,2359
5370605,Santa Rosa County,7/1/2003,0,Flash Flood,0,0,0,0,0,0,7/1/2003,800
5370603,Escambia County,7/1/2003,0,Flash Flood,0,0,0,0,0,0,7/1/2003,700
5334946,Bay County,7/2/2003,400,Flood,0,0,1000000,0,0,0,7/2/2003,2100
5377931,Walton County,8/11/2003,130,Flash Flood,0,0,0,0,0,0,8/11/2003,200
5404569,Walton County,6/26/2004,1540,Flash Flood,0,0,10000,0,0,0,6/26/2004,1640
5422228,Escambia County,9/16/2004,300,Flash Flood,0,0,0,0,0,0,9/16/2004,500
5439725,Walton County,3/31/2005,1730,Flash Flood,0,0,50000,0,0,0,3/31/2005,2030
5439726,Holmes County,3/31/2005,1730,Flash Flood,0,0,25000,0,0,0,3/31/2005,2030
5439798,Escambia County,3/31/2005,1800,Flash Flood,0,0,40000,0,0,0,3/31/2005,2359
5439763,Santa Rosa County,3/31/2005,1900,Flash Flood,0,0,3000,0,0,0,3/31/2005,2359
5443066,Escambia County,4/1/2005,0,Flash Flood,0,0,100000,0,0,0,4/1/2005,1130
5443068,Santa Rosa County,4/1/2005,0,Flash Flood,0,0,25000,0,0,0,4/1/2005,1130
5447838,Holmes County,4/1/2005,500,Flood,0,0,250000,0,0,0,4/2/2005,2000
5447900,Washington County,4/1/2005,600,Flood,0,0,500000,0,0,0,4/3/2005,600
5447904,Gulf County,4/1/2005,600,Flood,0,0,5000000,0,0,0,4/7/2005,600
5447902,Walton County,4/1/2005,1600,Flood,0,0,100000,0,0,0,4/3/2005,1600
5447837,Liberty County,4/1/2005,1800,Flood,0,0,25000,0,0,0,4/2/2005,600
5443260,Escambia County,4/6/2005,1730,Flash Flood,0,0,150000,0,0,0,4/7/2005,200
5443261,Santa Rosa County,4/6/2005,1750,Flash Flood,0,0,25000,0,0,0,4/7/2005,200
5443704,Santa Rosa County,4/30/2005,1100,Flash Flood,0,0,0,0,0,0,4/30/2005,1200
5443705,Escambia County,4/30/2005,1100,Flash Flood,0,0,0,0,0,0,4/30/2005,1200
5463448,Leon County,7/10/2005,1130,Flash Flood,0,0,500000,0,0,0,7/10/2005,1530
5463716,Santa Rosa County,7/10/2005,1330,Flash Flood,0,0,0,0,0,0,7/10/2005,1800
5463715,Escambia County,7/10/2005,1330,Flash Flood,0,0,0,0,0,0,7/10/2005,1800
5469394,Escambia County,8/29/2005,1200,Flash Flood,0,0,0,0,0,0,8/29/2005,1830
5469395,Santa Rosa County,8/29/2005,1200,Flash Flood,0,0,0,0,0,0,8/29/2005,1830
5475493,Santa Rosa County,9/26/2005,1000,Flash Flood,0,0,0,0,0,0,9/26/2005,1130
5475494,Escambia County,9/26/2005,1000,Flash Flood,0,0,0,0,0,0,9/26/2005,1130
5492531,Wakulla County,1/2/2006,1440,Flash Flood,0,0,1000,0,0,0,1/2/2006,1530
5492381,Leon County,2/2/2006,1700,Flash Flood,0,0,0,0,0,0,2/2/2006,1800
33245,Escambia County,5/30/2007,1215,Flash Flood,0,0,0,0,0,0,5/30/2007,1330
61496,Escambia County,10/19/2007,140,Flash Flood,0,0,20000,0,0,0,10/19/2007,1300
62253,Santa Rosa County,10/19/2007,140,Flash Flood,0,0,10000,0,0,0,10/19/2007,1300
75607,Escambia County,1/31/2008,2030,Flash Flood,0,0,0,0,0,0,1/31/2008,2130
81599,Bay County,2/21/2008,1615,Flood,0,0,750000,0,0,0,2/21/2008,2215
81600,Washington County,2/21/2008,1700,Flood,0,0,0,0,0,0,2/21/2008,2000
93049,Escambia County,4/5/2008,600,Flash Flood,0,0,0,0,0,0,4/5/2008,1100
93055,Santa Rosa County,4/5/2008,750,Flash Flood,0,0,8000,0,0,0,4/5/2008,1100
154582,Jefferson County,8/23/2008,1100,Flash Flood,0,0,100000,0,0,0,8/23/2008,2100
154594,Gadsden County,8/23/2008,1200,Flash Flood,0,0,100000,0,0,0,8/23/2008,2200
154591,Wakulla County,8/23/2008,1200,Flash Flood,0,0,500000,0,0,0,8/23/2008,2200
154586,Leon County,8/23/2008,1200,Flash Flood,0,0,10000000,0,0,0,8/23/2008,2200
137524,Escambia County,10/7/2008,500,Flash Flood,0,0,0,0,0,0,10/7/2008,800
141150,Leon County,11/14/2008,955,Flash Flood,0,0,0,0,0,0,11/14/2008,1055
141151,Leon County,11/14/2008,1000,Flash Flood,0,0,0,0,0,0,11/14/2008,1100
140645,Escambia County,12/10/2008,830,Flash Flood,0,0,5000,0,0,0,12/10/2008,1130
161058,Escambia County,3/28/2009,237,Flash Flood,0,0,0,0,0,0,3/28/2009,337
163360,Washington County,3/30/2009,0,Flood,0,0,150000,0,0,0,3/31/2009,2300
163361,Leon County,3/30/2009,1200,Flood,0,0,250000,0,0,0,3/31/2009,2300
163362,Calhoun County,3/30/2009,1200,Flood,0,0,500000,0,0,0,3/31/2009,2300
200431,Washington County,4/1/2009,0,Flood,0,0,200000,0,0,0,4/3/2009,0
167456,Gadsden County,4/2/2009,1100,Flash Flood,0,0,0,0,0,0,4/2/2009,1200
