County,DATE,PRCP
Bay County,1/1/2020,0
Bay County,1/2/2020,0
Bay County,1/3/2020,0.4
Bay County,1/4/2020,0
Bay County,1/5/2020,0
Bay County,1/6/2020,0
Bay County,1/7/2020,0
Bay County,1/8/2020,0
Bay County,1/9/2020,0
Bay County,1/10/2020,0
Bay County,1/11/2020,0.69
Bay County,1/12/2020,0
Bay County,1/13/2020,0
Bay County,1/14/2020,0.01
Bay County,1/15/2020,0
Bay County,1/16/2020,0.01
Bay County,1/17/2020,0
Bay County,1/18/2020,0.5
Bay County,1/19/2020,0.02
Bay County,1/20/2020,0
Bay County,1/21/2020,0
Bay County,1/22/2020,0
Bay County,1/23/2020,0.25
Bay County,1/24/2020,0.03
Bay County,1/25/2020,0
Bay County,1/26/2020,0.08
Bay County,1/27/2020,0
Bay County,1/28/2020,0
Bay County,1/29/2020,0.3
Bay County,1/30/2020,0
Bay County,1/31/2020,0.04
Bay County,2/1/2020,0
Bay County,2/2/2020,0
Bay County,2/3/2020,0
Bay County,2/4/2020,0
Bay County,2/5/2020,0
Bay County,2/6/2020,1.36
Bay County,2/7/2020,0
Bay County,2/8/2020,0
Bay County,2/9/2020,0
Bay County,2/10/2020,0
Bay County,2/11/2020,0
Bay County,2/12/2020,0
Bay County,2/13/2020,0.6
Bay County,2/14/2020,0.02
Bay County,2/15/2020,0
Bay County,2/16/2020,0.1
Bay County,2/17/2020,0
Bay County,2/18/2020,0
Bay County,2/19/2020,0
Bay County,2/20/2020,0.99
Bay County,2/21/2020,0
Bay County,2/22/2020,0
Bay County,2/23/2020,0
Bay County,2/24/2020,2.62
Bay County,2/25/2020,0.01
Bay County,2/26/2020,0.23
Bay County,2/27/2020,0
Bay County,2/28/2020,0
Bay County,2/29/2020,0
Bay County,3/1/2020,0
Bay County,3/2/2020,0.02
Bay County,3/3/2020,0.44
Bay County,3/4/2020,0.35
Bay County,3/5/2020,0.25
Bay County,3/6/2020,0
Bay County,3/7/2020,0
Bay County,3/8/2020,0
Bay County,3/9/2020,0
Bay County,3/10/2020,0
Bay County,3/11/2020,0
Bay County,3/12/2020,0
Bay County,3/13/2020,0
Bay County,3/14/2020,0
Bay County,3/15/2020,0
Bay County,3/16/2020,0
Bay County,3/17/2020,0
Bay County,3/18/2020,0
Bay County,3/19/2020,0
Bay County,3/20/2020,0
Bay County,3/21/2020,0
Bay County,3/22/2020,0
Bay County,3/23/2020,0
Bay County,3/24/2020,0
